국명(표준명·유통명),학명,영명,식물 특징,물주기 방법,유지 관리 포인트,과명,적절한 온도,적절한 광선,적절한 습도,효과,주의할 병충해,관리난이도,독성주의,Tip,문제 발생시,기타
다우니라벤더,Lavandula multifida,fernleaf lavender,"원산지는 지중해 연안이며, 25~30여 종이 있다. 보통 30~60 cm 정도 자라며, 꽃, 잎, 줄기 전체에 미세한 흰색 털이 있고, 그 사이에 향기가 나오는 기름샘이 있다. 손으로 만져 향기 를 맡으면 더 진한 향기를 맡을 수 있다. 허브식물이 향기를 내는 것은 스스로 방어하는 기능때문인데, 손으로 식물을 접 촉하여 자극하거나 해충이 오면 스트레스를 받아 살균기능 을 가진 방향물질을 내뿜어 가까이 오지 못하게 방어한다. 6~9월에 피는 꽃은 긴 꽃대 끝에 드문드문 달리며 아주 작 고 보랏빛을 띠며, 품종에 따라 다양하다. 배수가 잘되는 사 양토에서 기른다. 향유 채취와 관상용으로 재배한다. 향유는 향수와 화장품의 원료로 사용하고, 요리 향료, 두통이나 신경안정을 치료하는 등에도 활용한다.",물은 토양표면이 마르면 흠뻑 준다.,햇빛을 많이 받게 하고 습하지 않은 곳에서 잘 자란다. 물빠짐이 좋고 너무 비옥하지 않은 자 갈이 약간 혼합된 사양토가 좋다.,꿀풀과,15~25℃ (최저 5℃),양지,보통,"포름알데히드 제거, 음이온 발생","응애, 깍지벌레",중,,허브식물 중 포름알데히드 제거량이 가장 우수한 식물이다. 햇빛이 잘 드는 창가나 베란다 에 두는 것이 좋다. 또한 허브식물은 음이온 발생량이 풍부하여 햇빛이 잘 드는 공부방 창 가에 두면 좋다.,,
프렌치라벤더,Lavandula stoechas,Lavender French,"원산지는 지중해 연안이며, 25~30여 종이 있다. 보통 30~60 cm 정도 자라며, 꽃, 잎, 줄기 전체에 미세한 흰색 털이 있고, 그 사이에 향기가 나오는 기름샘이 있다. 손으로 만져 향기 를 맡으면 더 진한 향기를 맡을 수 있다. 허브식물이 향기를 내는 것은 스스로 방어하는 기능때문인데, 손으로 식물을 접 촉하여 자극하거나 해충이 오면 스트레스를 받아 살균기능 을 가진 방향물질을 내뿜어 가까이 오지 못하게 방어한다. 6~9월에 피는 꽃은 긴 꽃대 끝에 드문드문 달리며 아주 작 고 보랏빛을 띠며, 품종에 따라 다양하다. 배수가 잘되는 사 양토에서 기른다. 향유 채취와 관상용으로 재배한다. 향유는 향수와 화장품의 원료로 사용하고, 요리 향료, 두통이나 신경안정을 치료하는 등에도 활용한다.",물은 토양표면이 마르면 흠뻑 준다.,햇빛을 많이 받게 하고 습하지 않은 곳에서 잘 자란다. 물빠짐이 좋고 너무 비옥하지 않은 자 갈이 약간 혼합된 사양토가 좋다.,꿀풀과,15~25℃ (최저 5℃),양지,보통,"포름알데히드 제거, 음이온 발생","응애, 깍지벌레",중,,허브식물 중 포름알데히드 제거량이 가장 우수한 식물이다. 햇빛이 잘 드는 창가나 베란다 에 두는 것이 좋다. 또한 허브식물은 음이온 발생량이 풍부하여 햇빛이 잘 드는 공부방 창 가에 두면 좋다.,,
애플민트,Mentha suaveolens,Mint Apple,"유럽이 원산지인 애플민트는 사과와 민트향이 나는 다년생 초본 식물이다. 잎은 연녹색의 주름지고 난형의 형태로, 가 장자리 톱니 모양과 뚜렷한 엽맥으로 앞뒷면에 털이 있다. 여름에 흰색 또는 분홍색의 꽃이 층층이 길게 난다. 내한성 이 강하여 반음지 환경에서의 생장과 월동이 가능하다는 장 점이 있다. 꺾꽂이나 포기나누기로 번식을 한다. 향긋한 향기로 피로회복과 살균, 방향효과가 뛰어나 요리나 방향제 등으로 사용한다.",토양 표면이 마르고 잎이 시들면 물을 준다. 겨울에는 식물이 어는 것을 막기 위해 다른 계절보다 물을 적게 준다. 과습은 식물 뿌리를 썩게 할 수 있으므로 너무 많 이 주지 않도록 주의 한다.,"햇빛이 많은 양지가 좋으며, 빛이 부족할 때 잎에 생기가 사라지며 웃자라 실내에서는 자주 분갈이를 해주거나 가지치기를 해주어 수형을 잡아주는 것이 좋다. 양질의 토양이 필요한 식물로 장마 끝에 거름을 주 면 좋다. 땅속줄기가 뻗으면서 자라므로 자주 솎아 준다.",꿀풀과,16~24℃ (최저 –20℃),양지~반양지,보통,"포름알데히드·톨루엔 제거, 음이온 증가, 상대습도 증가","응애, 깍지벌레",중,,습도 유지 및 공기정화에 좋아 아이들 공부방에 놓 거나 향긋한 향기로 요리에 많이 쓰여 주방에서도 애용하는 식물이다.,,
제라늄,Pelargonium inquinans,"Geranium, Fish Geranium","꽃의 관상 기간이 길뿐 아니라 다양하고 화려한 꽃 색으로 세계적으로 널리 이용되는 분화 식물이다. 정원의 화단, 아파트 베란다, 벽장식 등에 화분, 플라워박스, 행잉바스켓 등의 형태 로 다양하게 이용하며, 특히 유럽에서는 창가에 놓는 꽃으로 활용한다. 비내한성 다년초로 약광, 건조 등 불량한 환경에 대한 적응력이 강하고 병충해에 강하기 때문에 최근 정원화단 및 실내환경 조성 등에 인기가 높다. 식물명인 제라늄은 이전 학명으로, 지금은 영명으로 통용되고 있다. 허브식물로 잎과 줄기에 서 독특한 향이 있어 곤충이나 모기를 쫓는 것으로 알려져 있다. 우리나라에서 모기를 쫓는 것으로 알려진 '구문초'도 제라늄의 한 품종이다.","봄~가을 토양 표면이 말랐을 때 충분히 물을 주고, 겨울에는 화분흙이 대부분 말랐을 때 충 분히 물을 준다. 약간 건조한 것을 좋아하므로, 화분의 토양표면이 마른 후 1~2일 두었다가 물을 충분히 준다. 토양이 과습하면 뿌리가 썩을 수 있다.",화분에 뿌리가 가득차서 뿌리발달이 제한되면 발육이 나빠지고 아랫잎이 쉽게 고사되므로 매년 좀더 큰 화분으로 분갈이한다. 토양을 과습하지 않게 관리한다.,쥐손이풀과,15~25℃ (최저 10℃),양지~반양지,보통,"포름알데히드·톨루엔등 제거, 음이온 발생, 상대습도 증가, 이산화탄소 감소","응애, 깍지벌레, 온실가루이",하,,제라늄은 꽃을 피우기 위해 햇빛이 많이 필요하므로 창가나 베란다에 배치하는 것이 좋다. 창가에 두면 특유의 향 때문 에 해충이 들어오는 것을 막아주어 유럽에서는 창가에 놓는 꽃으로 활용한다.,"문제 발생시 ▶ 하단의 잎이 노랗게 될 때 : 물주기가 잘못 되었을 경우로 물을 너무 많이 주거나 적게 줄 때 발생함. 색이 변하여 시들어 떨어지거나, 잎이 경화 되거나 가장자리가 부스러짐 ▶ 잎 가장자리가 갈색으로 변할 때: 온도가 너무 낮을 경우로 밤의 서리를 대비해 창가에 위치 한 화분을 다른 곳으로 이동 ▶ 줄기가 검게 변할 때: 흑각병에 감염되었을 경우로 감염된 식물은 제거해야 함 ▶ 도장, 잎이 떨어지거나 잎이 적을 때: 빛이 적을 경우로 제라늄은 그늘진 곳에서는 잘 자라지 않음 ▶ 잎에 회색 곰팡이가 생겼을 때: 잿빛곰팡이로 주로 습기가 많을 때 발생. 전염성 감염병으로 병든 잎을 제거하고, 살균제를 분무하거나 환기를 개선하며, 관수를 줄임 ▶ 제라늄에 꽃이 없을 때: 식물은 건강한 상태이나 꽃이 없다면 겨울 에 실내 온도가 너무 높은 경우임",
장미허브,Plectranthus tomentosa,Vicks plant,"장미허브는 남아프리카가 원산지인 달콤한 향이 나는 다년 생 허브이다. 종 'tomentosa'는 라틴어로 잎의 양면을 덮은 벨벳 같은 코팅을 뜻하는 말로, 털이 있고 두꺼우며 녹색의 장미 꽃모양의 잎을 가지고 있다. 최대 50cm까지 자랄 수 있 으며 처음에는 연한 줄기를 가지고 있지만 생장 후에는 목질 화 된다. 초봄과 가을에 보라색의 꽃이 피며, 벌과 나비는 좋 아하지만 모기는 퇴치할 수 있는 역할을 한다. 번식력이 좋아 물꽂이, 꺾꽂이 및 포기나누기 등 다양한 방 법으로 쉽게 번식할 수 있다.",토양 표면이 말랐을 때 물을 준다. 다육식물 같이 잎이 두꺼 워 건조에 강하나 과습은 식물이 황변하는 등 피해가 될 수 있으므로 물주기에 주의한다. 과도한 물주기는 곰팜이 병이 발생할 수 있다.,햇빛을 좋아하는 식물로 남향의 창가나 베란다에 둔다. 햇빛이 부족한 경우 웃자라서 잎이 드문드 문 달린다. 통풍이 불량하거나 습한 환경에서 취약하여 곰팡 이와 같은 병해가 발생하기 쉬우므로 통풍과 습도 조절에 주의가 필요하다. 월동을 위해서 최소 10℃ 이상의 온도가 필요하다.,꿀풀과,15~25℃ (최저 10℃),양지~반양지,보통,"이산화탄소 감소, 상대습도 증가, 음이온 발생","응애, 깍지벌레",하,,"허브류 중에서 음이온 발생량이 가장 우수한 식물 로, 실내에서 기를 때에는 햇빛이 잘 드는 공부방 창가에 두면 집중력 향상에 도움을 준다.",,
로즈마리,Rosmarinus officinalis,Rosemary,"남유럽 지중해 연안이 원산지인 로즈마리는 라틴어 '바다의 이슬'에서 유래된 식물로 향기가 나는 빛을 좋아하는 다년생 관목이다. 봄과 여름에 흰색, 분홍색, 하늘색 등의 꽃이 핀다. 잎은 상록색의 가늘고 긴 잎이며, 뒷면은 회색의 털들이 있 으며, 목질과 잔가지가 많은 줄기에 붙어 있다. 자랄 때 최대 2m까지 자라는 견고한 식물이다. 향균 및 살균 효과가 있으 며, 특유의 향으로 화장품, 요리 등 다양한 용도로 이용되고 있으며, 기억력 증진 효과 등에 효과가 좋은 실내식물이다.",토양표면이 말랐을 때 물을 준다. 과습은 식물 뿌리를 썩게 할 수 있으므로 너무 많이 주지 않도록 주의한다. 보통 8월 이후는 다소 건조하게 관리하는 것이 좋다.,"햇빛이 충분한 양지에서 최소 15도 이상의 온도를 유지하는 것이 좋다. 빛이 부족할 때 잎에 생기가 사라지며 웃자라 실내에서는 자주 분갈이를 해주는 것이 좋다. 1년생의 과도한 가지치기는 생장을 저해할 수 있으므로 주의한다. 잎을 수확할 시 향이 진한 가을에 하는 것이 좋으며, 건조하게 관리하는 것이 좋다.",꿀풀과,16~24℃ (최저 15℃),양지~반양지,보통,포름알데히드·톨루엔 제거,"응애, 깍지벌레",중,,기억력 증진과 실내 공기정화가 우수한 식물로 가정에서 햇빛이 잘 드는 아이들의 공부방이 나 요리를 자주 하는 주방에 두면 좋다.,,
해피트리,Heteropanax chinensis,Fragrant Aralia,싱그러운 녹색을 띠는 작고 얇은 잎들이 보는 이들을 행복 하게 만드는 나무다. 잎이 웃는 모양 같다고 하여 행복나무 라고 불리기도 한다. 중국에서는 '황산풍'이라고 불리며 부 귀수로 알려지는 등 다양한 이름을 가졌다. 높이가 20~30m 나 자라 조경수로도 이용한다. 실내에서는 직사광선과 완전 한 음지를 제외하고는 어떤 곳에서도 잘 자란다. 햇빛이 잘 드는 창가가 키우기 가장 좋은 장소이고 간접 광을 받을 수 있는 곳은 어디든 좋다.,"봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.",직사광선을 피하고 잎에 자주 분무한다. 가지치기를 하지 않 으면 웃자라 주변 식물에 영향을 준다.,두릅나무과,21~25℃ (최저 13℃),반양지,높거나 보통,공기정화,"응애, 깍지벌레",중,,"가정, 사무실, 상업 공간 등 많이 이용되는데 넓은 공간에 잘 어울린다.",,
호야,Hoya carnosa ,Wax Plant,"호야는 실내에서 쉽게 생육하며 덩굴성 상록 다년초이다. 잎 이 다육질이며 5~9월에 향기로운 별 모양의 꽃이 연한 분홍 색으로 피고 윤기가 있다. 동남아시아에서 오스트레일리아 에 이르는 열대, 아열대 지역에 걸쳐 100여 종이 분포한다. 시중에 여러 품종이 유통되며 잎에 무늬가 있는 무늬호야, 호야에서 잎만 떼어낸 후 잎꽂이 하여 판매하는 하트호야, 랑케올라타 벨라호야(Hoya lanceolata) 등이 있다. 소형인 랑케올라타 벨라호야는 줄기가 길어 행잉 바스켓에 심는다.",봄~가을은 토양 표면이 말랐을 때 충분히 물을 주고 겨울에 는 화분흙이 대부분 말랐을 때 충분히 물을 준다. 공중습도 가 너무 건조하면 깍지벌레가 발생하므로 잎에 분무한다.,과습에 유의한다. 다른 식물의 생장을 방해하는 가지를 제거 한다. 꽃봉오리가 생기면 가지를 제거하거나 분갈이 등을 하 지 않는다. 꽃이 진 후에 줄기를 잘라준다.,박주가리과,18~22℃ (최저 13℃),반양지 (개화를 위하여 충분 한 빛이 필요),"보통, 잎에 분무","자일렌 등 제거, 공기정화","응애, 깍지벌레",하,흰색 수액에 독성 함유,"햇빛이 잘 드는 창가에 배치하면 다육질의 잎과 윤기나는 호야 꽃을 볼 수 있다. 줄기가 늘어 지는 것이 싫으면 지주대를 세운다. 보통 행잉, 모아심기 등에 많이 활용한다.",,
칼랑코에,Kalanchoe blossfeldiana,Flaming Katy,"칼랑코에는 넓은 잎을 가진 다육식물이로 낮의 길이가 8시 간 이하로 짧아지면 꽃눈이 분화하여 꽃을 피우는 단일성 식 물이다. 빨간색, 노란색, 분홍색, 흰색 등 꽃의 색이 다양하고 아름다우며 관리가 쉬워 실내에서 많이 키운다. 네덜란드에 서 재배품종으로 육성하여 브랜드화한 '칼란디바'의 품종들 도 다양하게 유통된다.","화분의 흙이 마르면 화분 밑으로 물이 흘러나올 때까지 충 분히 준다. 물을 지나치게 주면 뿌리가 썩을 수 있고, 물을 너 무 적게 주면 경우 뿌리마름, 염해 축적 등의 문제가 발생할 수 있으므로 주의한다.","가지치기를 하지 않으면 식물이 웃자라 주변식물의 생장에 방해될 수 있다. 토양은 통기성이 좋아야하며, 배수가 용이하고, 보수력이 좋아야 한다. 다육식물이므로 과습에 유의한다.",돌나물과,16~26℃ (최저 10℃),"양지, 반양지 ",낮은편,공기정화,"응애, 깍지벌레, 노균병, 잿빛곰팡이병, 역병, 입고병",하,,"강한 직사광선을 피할 수 있는 밝은 창가에 두면 좋다. 칼랑코에는 겨울철에 해가 짧아 자연적으로 14시간정도 의 단일처리가 되어 10~11주 후에 꽃눈이 형성되고 꽃이 피게 된다. 실내에서 키워 자연적인 단일처리가 되지 못 했을 때는 저녁 6시~다음날 오전 9시경까지 14시간 이상, 10~11주 정도를 검은 봉지나 박스 등을 이용하여 빛을 완 전 차단해 주면 단일효과를 볼 수 있다.",,
칼라테아 인시그니스,Calathea insignis,Rattlesnake Plant,"낮에는 잎을 활짝 펼쳐서 빛을 한 몸에 받으며 열심히 광합 성을 하고, 밤이 되면 물을 끌어올리는 힘이 약해져 호흡에 집중하며 수면운동을 하는데 이는 식물 체내의 습도를 유지 하기 위한 칼라테아 종류의 특성이다. 반음지에서 잘 자라고 음지에서도 잘 견디나, 어두운 곳에 오래 있으면 잎 끝이 아래로 처지거나 싹 끝이 시드는 등 의 증상이 있다. 잎이 타들어 갈 수 있으므로 직사광선을 피 한다.","봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다. 물은 토 양표면이 마르면 화분 구멍으로 흘러나올 때까지 충분히 주 는 것이 좋다.","직사광선을 피하고 잎에 자주 분무한다. 건조한 환경에서는 키우기 힘들다. 공중습도가 건조 한 경우에는 잎이 말려들거나 잎 끝이 마르게 되는데, 이때는 분무를 자주 해주는 것이 좋다. 온도가 낮을 경우 잎이 말리면서 쪼그라들게 되는데, 겨울에 베란다에서 키울 경우 주의해 야 한다.",마란타과,16~25℃ (최저 13℃),"반양지, 반음지",보통,공기정화,"진딧물, 응애, 깍지벌레",중,,,,
칼라테아 마코이아나,Calathea makoyana,Peacock plant,"칼라테아 마코이아나는 키우기가 쉬운 식물은 아니지만 많 은 사람들이 독특한 잎을 감상하기 위해 정성을 쏟는 식물로 잎이 화려한 공작 꼬리 무늬와 닮았다하여 영명이 Peacock plant이다. 같은 마란타그룹에 속해 있어 마란타(Maranta leuconeura)와 혼동하기도 하지만, 다른 외형적 특징을 가 지고 있다. 계란형태의 잎은 은색빛이 도는 바탕에 짙은 녹 색의 반점모양의 무늬가 있고, 반점색 보다 옅은 녹색으로 테두리가 둘러져 있다.","토양이 항상 촉촉하게 관리하고 겨울에는 물주는 횟수를 줄 인다. 특히, 겨울에는 실내온도와 비슷한 온도의 물을 줘야 한다. 정기적으로 잎에 분무한다.",직사광선을 피하고 잎에 자주 분무한다. 너무 건조하면 해충이 발생한다.,마란타과,18~27℃ (최저 13℃),반음지~반양지,높거나 보통,"공기정화작용, 음이온 발생, 상대습도 증가","응애, 깍지벌레",상,,"칼라테아 마코이아나는 온도, 습도, 공중습도 등 조금이라도 변화가 있으면 잎이 말리거나 갈색으로 변하기 때문에 기르기가 까다로운 식물이다.",,
마란타,Maranta leuconeura var. kerchoveana,"Ten commandments, Prayer plant",마란타는 연한 녹색 잎에 진한 녹색 반점이 잎맥을 중심으 로 2열로 있는 독특한 무늬가 인상적인 식물이다. 마란타속 에는 여러 가지 변종이 있지만 키우기가 가장 쉬운 품종이 다. 다 자라도 20~30cm 정도의 높이로 키가 작고 가지가 많 아 자라면서 방사상으로 퍼진다. 영어이름이 Prayer plant인데 식물 체내 수분을 유지하기 위 해 해질 무렵 잎을 위로 모으는 모양이 마치 기도할 때 손을 모으는 모습과 비슷해 유래했다. 현재 키우고 있는 마란타가 낮에는 잎을 펼치고 밤에는 잎을 위로 세운다면 환경에 잘 적응하고 있는 것이라 할 수 있다.,"토양을 촉촉하게 유지하고, 분무를 자주하는 것이 좋다. 겨울에는 물주는 횟수를 줄이고, 물을 받아 두었다 실내온도 와 비슷한 온도로 물을 주어야 한다.",난방 등으로 공기가 건조하면 해충이 생기기 쉽다. 너무 서늘한 곳에 두면 잎이 갈변할 수 있다.,마란타과,21~27℃ (최저 13℃),양지~반양지,보통,"공기정화, 음이온 발생, 상대습도 증가","응애, 깍지벌레",중,,,마란타 그룹(THE MARANTA GROUP) 문제 발생시 ▶ 잎 끝이 갈변하고 건조할 때. 성장 저해 될 때 : 공기가 너무 건조할 경우 응애가 발생할 수 있음. 죽은 잎과 가지를 제거하고 잎에 정기적 으로 분무 ▶ 잎이 말리고 얼룩이 질 때. 아래 잎이 노랗게 될 때 : 물을 적게 주는 경우. 많은 실내식물과 달리 토양이 항상 촉촉하게 유지되어야 하며 식물 이 활발하게 자랄 때 물이 마르지 않도록 해야 함 ▶ 잎이 떨어질 때 : 공중습도가 너무 건조할 경우. 특히 낮은 공중 습도에 민감하며 토양을 촉촉하게 유지. ▶ 줄기가 힘이 없거나 썩어갈 때 : 특히 겨울철 공기가 너무 서늘하고 토양이 너무 축축할 경우 토양이 마르도록 한 후 다시 조금씩 관수 ▶ 잎이 변색되거나 누렇게 마를 때 : 빛이 너무 과할 때로 특히 직사광선일 경우로 식물을 바로 옮겨 줘야 함,
몬스테라,Monstera deliciosa,Swiss cheese plant,"거칠고 무성해 보이는 외형, 공중으로 쭉 뻗은 뿌리에 찢어진 큰 잎(어린 잎에는 구멍이 없 다)을 지닌 몬스테라는 인기가 많은 실내식물로 기르기와 관리가 쉽다. 원산지가 멕시코와 중앙아메리카인 상록성 착생식물로 몬스테라속(屬)에는 30여 종이 있다. 잎의 모양은 다소 깃처럼 갈라지고, 군데군데 구멍이 파여 있어 폭우와 강한 바람에 견딜 수 있는 구조로 발달하였으며, 밑에 달린 잎에 광선이 통할 수 있도록 되어 있다. 원줄기는 굵고 초록색이며 마디에서 기근(氣根)이 내리고 다른 물체에 붙어 올라간다. 천남성과의 식물로 육수화서의 꽃이 피고, 성숙한 열매는 옥수수 이삭같이 생겼으며 바나나와 같은 향기가 있고 식용이 가능하여 몇몇 나라에서는 별미로 통한다. 번식은 포기나누기 또는 꺾꽂이로 한다.",흙을 촉촉하게 유지한다.,가지치기를 하지 않으면 웃자라 주변 식물에 영향을 준다.,천남성과,16~25℃ (최저 13℃),반양지~반음지 (직사광선 노출시 잎이 탐),보통,공기정화,"응애, 깍지벌레",하,식물 모든 부분,덩굴성이라 위로 자라게 하려면 지지대가 필요하다.," ▶잎의 가장자리에서 액이 나올 때 : 토양이 과습할 경우로 토양을 마르게 하고 물주는 주기를 늘려줌 ▶ 웃자라거나 작고 잎 색이 바랄 때 : 빛이 너무 적을 경우로 몬스테라는 어두운 그늘에서 자라지 않음 몬스테라잎 뒷면의 갈색 반점 : 응애가 원인일 수 있음 ▶ 줄기가 썩어갈 때 : 줄기썩음병. 보통 겨울에 발생하는데 습기가 많고 온도가 낮을 때 활성화되는 곰팡이 때문임. 식물을 살리려면 토양 을 건조하고 따뜻하게 유지하고 분갈이함 ▶ 잎 끝과 가장자리가 얇아지고 건조하며 갈변될 때 : (1) 공기가 건조할 경우로 화분 주위와 잎에 분무 (2) 뿌리가 화분에 꽉 차있을 때도 비슷한 증상을 보임 (3) 일반적으로 과습일 경우 잎 끝이 갈변되고, 침수되었 을 때 누렇게 됨 ▶ 누렇게 된 잎들 : (1) 많은 잎이 시들고 썩어, 식물 전체가 크게 영향을 받았 다면 과습일 수 있음 (2) 시든 잎이 없으면 영양부족일 수 있음 (3) 하단의 잎만 영향을 받았거나, 잎에 갈색 반점이 있고, 새 잎이 작고 어두운 색을 띠고 있으면 물을 적게 주는 것이 원인일 수 있음 (4) 햇빛을 너무 많이 받았을 경우 잎 색이 연해지고 누런 반점이 생김 ▶ 잎에 구멍 없음 : 어린 식물의 잎은 잘리지 않고 구멍이 나지 않은 것이 정상임. 성숙한 잎에 구멍이 없는 경 우는 빛과 통풍, 수분 및 영양이 부족할 경우임 ▶ 잎이 떨어질 때 : 수령에 따라 가장 아래 잎이 떨어지는 것은 정상임. 비정상적으로 낙엽이 진다면, 항상 위 에 있는 잎에서 문제점을 확인해야 함. 잎들이 떨어지기 전에 갈변하고 건조하게 된다면, 지나치게 따뜻해서임. 보통 겨울철 화분이 라디에이터 등의 전열기 근처에 있을 때 발생함",
남천,Nandina domestica,"Heavenly bamboo, Sacred Bamboo","환경 적응력이 뛰어나고 생명력이 강한 남천은 대나무같은 곧은 줄기에 작은 초록색 잎들이 가득 달린 생기있는 모습으 로 사랑받는 식물이다. 남부지방에서는 월동이 가능한 상록 관목 식물인 남천은 실내·외 조경수로 사계절의 모습을 생 생하게 담아낸다. 봄에는 마른 가지에 새잎이 돋기 시작하여 점점 무성해지고, 초여름에 작은 흰색 꽃이 피고 꽃이 진 뒤 에는 붉은 열매를 맺는다. 가을에는 단풍과 붉은 열매를 보 여주는 등 꽃·잎·열매·단풍이 모두 아름답다. 화분의 흙은 배수가 잘되는 비옥한 사질양토를 사용한다. 종자번식, 삽목, 접목, 분주 등 다양한 방법으로 번식한다.","봄~가을에는 토양표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.",직사광선을 피하고 햇빛이 잘 드는 곳에 둔다.,매자나무과,16~25℃ (최저 5℃),양지~음지,보통,포름알데히드 제거,"응애, 깍지벌레",하,,"실내·외, 옥상 등 정원수로 많이 사용되는 남천은 실내에서 기를 때에는 거실 창가나 베란다, 빛을 많이 받을 수 있는 곳에서 키우는 것이 좋다.",,난초류 다시 꽃피우기 tip이 있음.
심비디움,Cymbidium spp.,Cymbidium,"심비디움은 열대종과 온대종이 있고 흔히 꽃이 크고 화려한 것은 열대종이다. 최근에 온대성 심비디움과의 교잡에 의해 신품종이 많이 육성되어 향기가 나거나 포기가 작아진 종도 생겼다. 저온에 강해서 2~3℃에도 견디지만 꽃을 피우기 위 해서는 최저 12℃ 이상이어야 한다. 보통 우리나라에서는 겨 울에 꽃이 피고, 꽃 피는 기간도 긴 편이다. 번식은 포기나누기, 조직배양으로 한다.","봄, 겨울에는 화분흙이 대부분 말랐을 때 물을 충분하게 주 고, 여름~가을에는 토양표면이 말랐을 때 충분히 물을 준다.","여름에 50~70% 햇빛을 가려주고, 공중습도를 60~70% 정 도 유지한다. 밤 온도가 15℃ 이상 너무 높아지면 꽃이 잘 피 지 않거나 꽃 색이 불량해진다.",난초과,16~24℃ (최저 12℃),양지~반양지,높은편,공기정화 효과,"응애, 깍지벌레",상,,햇빛이 잘 들고 통풍이 잘되는 베란다에 두면 좋다. 베란다가 겨울철에 12℃ 이하가 지속되 면 꽃이 피기 어려우므로 주의한다.,,
덴드로비움,Dendrobium spp.,Dendrobium,덴드로비움은 보통 고개를 숙이고 있는 줄기 위에서 일렬로 핀다. 개화기간은 일주일에서 몇 개월 동안으로 품종에 따 라 다르다. 워낙 광범위하게 분포되어 식물의 종수도 많고 특성이 다양하다. 개화습성도 품종마다 다르기 때문에 구입 할 때 고려해야 한다. 속명 Dendrobium은 나무를 뜻하는 dendron과 생활을 뜻 하는 bios에서 온 것으로 “life in a tree (나무에서의 삶)” 이 라는 뜻이다. 이름에서 알 수 있듯이 대부분의 덴드로비움 속의 식물은 다른 나무나 바위 면에 붙어 자라는 착생식물 이다. 건조하고 낮은 온도에서 잘 견디며 대개 직립성이다.,"표면이 마르면 물을 준다. 건조하지 않도록 자주 분무해주 고, 너무 습하지 않도록 환기에도 주의한다. 겨울에는 뿌리 가 시들지 않을 정도만 물을 준다.","직사광선 피하고 잎에 자주 분무한다. 너무 건조하면 해충이 발생하고, 물을 너무 많이 주면 곰팡이병에 걸린다.",난초과,16~24℃ (최저 5℃),반양지,높거나 보통,"알코올·아세톤· 포름알데히드 등 제거, 공기정화","응애, 깍지벌레",상,,"난초과 식물은 다육식물, 브로멜리아류와 마찬가지로 밤에 이산화탄소를 흡수하므로 꽃이 피었을 때는 햇빛이 잘 드는 침실에 두면 좋다.",,
온시디움,Oncidium spp.,Butterfly Orchid,"멕시코, 브라질이 원산지인 온시디움은 열대지방에서 자라 는 착생란으로 다른 식물의 표면이나 바위 등에 붙어서 생 장한다. 많은 품종 있지만 보통 재배되는 것은 작은 노란색 꽃이 스파켈라툼(Oncidium sphacelatum), 작은 노란색 꽃 이 피며 작은 분으로 가꿀 수 있는 플렉수오숨(Oncidium plexuosum) 등이 있다. 봄에 포기나누기로 번식한다.",표면이 마르면 충분히 물을 주고 가을부터는 약간 건조하 게 관리한다.,"꽃이 진 후에는 해가 잘 들고 통풍이 되는 장소, 베란다에 서 관리한다. 밤에는 시원하고 수분이 충분해야 잘 자란다. 직사광선은 피하고, 통풍이 잘 되도록 관리하며, 추위에 약하므로 최저 10℃ 이상 유지해 줘 야 한다. 또한 겨울철에는 햇빛이 약해지므로 빛이 부족하지 않게 관리해야 한다.",난초과,21~25℃ (최저 10℃),반양지,높은편~보통,상대습도 증가,"응애, 깍지벌레",중,,"난초과 식물은 다육식물, 브로멜리아류와 마찬가지로 밤에 이산화탄소를 흡수하므로 꽃이 피었을 때는 햇빛이 잘 드는 침실에 두면 좋다.",,
